year,rank,name,position,school,team_id,is_college,age,bats,throws,current_level
2022,226,Nathan Martorella,1B/OF,California,IPEDS:110635,True,25,L,L,AAA
2022,227,Christian Oppor,LHP,Gulf Coast State JC,,False,21,L,L,AA
2022,228,Andrew Morris,RHP,Texas Tech,IPEDS:229115,True,24,R,R,MLB
2022,229,Isaiah Jackson,OF,Arizona State,IPEDS:104151,True,21,L,R,A+
2022,230,Ethan Petry,OF/1B,South Carolina,IPEDS:218663,True,21,R,R,A+
2022,231,Chris McElvain,RHP,Vanderbilt,IPEDS:221999,True,25,R,R,AA
2022,232,Ethan Long,3B,Arizona State,IPEDS:104151,True,25,R,R,A
2022,233,Zach Root,LHP,Arkansas,IPEDS:106397,True,22,L,L,A+
2022,234,Luis Rujano,RHP,Sunshine State Elite Academy (FL),,False,23,R,R,AA
2022,235,Dallas Macias,OF,Oregon State,IPEDS:209542,True,22,L,R,A
2022,236,Nate Baez,C,Arizona State,IPEDS:104151,True,24,R,R,AA
2022,237,Carter Young,SS,Vanderbilt,IPEDS:221999,True,25,L,R,AA
2022,238,Cory Lewis,RHP,UC Santa Barbara,IPEDS:110705,True,25,R,R,ROK
2022,239,Dom Johnson,OF,Kansas State,IPEDS:155399,True,25,R,R,A+
2022,240,Gavin Van Kempen,RHP,East Carolina,IPEDS:198464,True,21,R,R,
2022,241,Steven Zobac,RHP,California,IPEDS:110635,True,25,L,R,ROK
2022,242,Eric Adler,RHP,Wake Forest,IPEDS:199847,True,25,R,R,AA
2022,243,Matthew Grabmann,RHP,Fairfield,IPEDS:129242,True,22,S,R,
2022,244,Riley Cornelio,RHP,Texas Christian,IPEDS:228875,True,25,R,R,AAA
2022,245,Emaarion Boyd,OF,South Panola (MS),,False,22,R,R,AA
2022,246,Korbyn Dickerson,OF,Indiana,IPEDS:151351,True,22,R,R,A
2022,247,Michael Curialle,OF/3B,UCLA,IPEDS:110662,True,24,R,R,A+
2022,248,Zach Morgan,C,Fresno State,IPEDS:110556,True,26,R,R,AAA
2022,249,Colby Halter,2B/3B,Florida,IPEDS:134130,True,24,L,R,AA
2022,250,Will Mabrey,LHP,Tennessee,IPEDS:221759,True,25,L,L,AA
